feature,coefficient
not seen,0.5472222436551156
desire,0.5457084609018676
easily,0.5453891467345198
well as,0.5453479747403853
and have,0.5451914263758064
thank,0.5441532076609777
british,0.5439559395905696
noticed,0.5434692118012744
the ultimate,0.543123197149254
when first,0.5423998594680827
tend to,0.5418203497891011
than any,0.5417918134553531
dirty harry,0.5402710283088245
young man,0.5396727383279697
twisted,0.5392763834512679
swim,0.5384487143441525
children,0.5380983315039496
sensitive,0.5377201309795318
seen the,0.5376904501898349
for all,0.5364118334217318
natural,0.5363790081090664
deal,0.5363039819180728
real people,0.5354899534730908
tend,0.53510315177188
is funny,0.5343979340099119
back to,0.5337973545817586
jake,0.533507225342803
enjoy this,0.5334017323888709
understand why,0.5324860203112918
memorable,0.5315468934902361
flavia,0.5299525536361102
details,0.5293464772349553
of their,0.5291036652513083
stands,0.5283811031349164
the heart,0.5281516398606876
the overall,0.5280676305139589
essential,0.5279839524585842
of what,0.5264850952590254
sandra,0.5256608771396163
excellent and,0.525019621088247
months,0.5249249255714982
biko,0.5249190170718104
miss,0.5248672730825474
saw it,0.5235663702796095
in its,0.5234377473442882
up the,0.5220888962407784
seen this,0.5218758213012278
realism,0.5217713090144779
use of,0.5211512286237133
will enjoy,0.520159246028774
these days,0.5200288367817468
davies,0.5197867473600282
lily,0.5197562533235882
holly,0.5196776197966387
him and,0.5195151789626701
michael,0.5188042729031404
may be,0.51862650337565
later,0.5181781958554182
it was,0.5158313082945208
you like,0.5150313141289539
raines,0.5146852845395231
to win,0.513790570589523
finding,0.5137029769498979
is my,0.5133631604317663
of human,0.5129879205359617
emma,0.5129622917171155
his own,0.5128705535353622
creates,0.5122208123211507
time,0.5115439902678002
somewhat,0.5112420022834798
without being,0.5098926773931778
world of,0.5095375965584973
splendid,0.5087952416747592
relate to,0.5084217820813658
nancy drew,0.5079970224611312
your heart,0.5073777568605814
not perfect,0.5073401013469613
true story,0.5072354906068358
many of,0.5070539043429798
boys,0.5067616885490631
be disappointed,0.5056969754132998
political,0.5056708055837051
he can,0.505530352507358
portrait,0.50494374346095
david,0.5048131375360406
good movie,0.5043086869348794
is film,0.5032946802673351
brings,0.5031989868437463
pegg,0.5018779983825493
come out,0.5013974985281205
was amazing,0.5008183027973228
keep,0.5007321413687826
winner,0.5002536437424951
purple,0.5002193380999126
hooked,0.5002161490600512
moments,0.5002118052052956
length,0.4999139955586896
police,0.4995155024587002
of laughs,0.4993574076332531
deal with,0.49934759196073575
century,0.4988753482215414
thought it,0.4984718658151995
dirty,0.49777665761957757
to my,0.4976419161018271
max,0.49764064766852656
all of,0.49760499605855874
fighting,0.4973808270768789
and while,0.49656715965622583
is very,0.4949597572358172
first rate,0.4945287283707305
and funny,0.49436192927257794
movie with,0.4942485877270596
unforgettable,0.49420380778869516
the american,0.49411535800831863
great as,0.49402228702984274
be so,0.49396486298621384
exceptional,0.49356274186945354
tremendous,0.4931552009400291
ways,0.4928967312560814
movie about,0.4925851165138337
tale,0.492376863410661
nina,0.49222449092966764
england,0.49157368226935505
each other,0.4915650924232115
excellent the,0.49100053478921846
understand,0.4909835856057554
tsui,0.4908300440592917
disagree,0.49028535884770946
others,0.48992824270678914
think about,0.4895110675672072
saw,0.4891558580815961
would love,0.4890439448724885
top notch,0.48884633614195594
but it,0.4876060294257682
superhero,0.4875885713571186
the edge,0.4875251749219095
scoop,0.4869932241693029
charming,0.486862624360295
mature,0.4866594488313848
warm,0.486515731090129
that has,0.48646939210734474
iran,0.48624848454408925
edge of,0.48540728966902463
enjoyed the,0.485334492062756
would recommend,0.48443461151141065
got to,0.48425997013355954
like the,0.48422333296206327
if you,0.4841555504794864
musical,0.48364651165439615
bernsen,0.48348578613554316
thank you,0.4832442251791139
knows,0.4827281585359795
goldsworthy,0.48262433020769685
my favourite,0.4822278529580633
sides,0.48181140931992644
harilal,0.4816695966218025
it shows,0.481604174599579
spinal tap,0.48156482022926217
elmer,0.48115985061044064
certain,0.4810283095163193
ensemble,0.4808912692314002
included,0.4801653372369811
all time,0.4798565233649285
is definitely,0.47981613379007815
lewis,0.47876168399465335
jump,0.47873627457736706
to see,0.47863144959284193
burns,0.4775873837705943
even if,0.4775015213897922
and does,0.47702114756114117
mixed,0.47674028407478036
abc,0.4766865300242692
and in,0.47644126010389976
is real,0.47603432732196377
humor and,0.47542485331620965
showed,0.47538995390141614
panahi,0.47531639470933523
edge,0.47507078112237106
day and,0.4746392409977892
erotic,0.4746364933341953
look forward,0.4744393756648641
work,0.47437479889895373
the ramones,0.47429546973179
sharp,0.474069806722684
drama,0.4732622951797918
to enjoy,0.47259695104667265
the dark,0.4722191676566887
jimmy,0.47221688522768646
is lot,0.47211196151968493
of us,0.4716192370660186
movie and,0.4715437419028809
color,0.47039014458080336
drake,0.47032215955589035
kung fu,0.4701723205421259
iranian,0.47008269146107196
russell,0.4697841236621966
return,0.4693166025450527
bridge,0.4690590515568921
don miss,0.4689102643446408
released on,0.46832432074570396
touched,0.46829682104461434
discovered,0.46802923059414614
years ago,0.4679758809285516
the kind,0.46793507903193854
to live,0.467924597677057
favorites,0.4678432855817306
was excellent,0.46744898133241364
time in,0.46737366754927023
good the,0.46721883933259006
lot to,0.46721787468080833
was an,0.46712580211948207
macy,0.4669590661276669
dance,0.4665201251391335
everyday,0.4664167447555557
film noir,0.4656206915538972
win,0.4653016772134646
fight,0.46498410226872905
masterson,0.4644532943878068
was also,0.46433654732148105
prince,0.4643302321816562
week,0.46395757828219425
surprised me,0.4638447719070902
not like,0.4638189407482861
in black,0.4627472247132888
fun and,0.46269473034067216
lovable,0.4625712625518792
intelligent,0.4623889001736629
job of,0.46206087159956566
it also,0.4619799097398995
is superb,0.4619721452126266
ever since,0.4615568658768217
but who,0.4614383653178467
albeit,0.46118830408295663
treat,0.461060559231623
ahead,0.4609920395503684
the events,0.46074240228525365
who can,0.4607257657036883
othello,0.4604634224557898
hollywood,0.46039144708965607
check it,0.4603853597280948
brilliantly,0.45949110058942616
chief,0.45912025472976503
from their,0.45904171936940685
sox,0.4587347252050885
what we,0.45803359604368726
sadness,0.4580050537412549
ruth,0.45709879447882923
slow but,0.45673101387851983
are very,0.45661330839766123
crime,0.45636955106520305
it worth,0.45608880147614334
johansson,0.45570801856927373
surprises,0.4557041684371031
any other,0.45543327758473556
inspiring,0.4551494765618042
marty,0.45502639830672376
some very,0.45499352418555306
and must,0.4549920795357238
awards,0.4548559757946734
soccer,0.45464062350575984
beginning to,0.4545672451876028
adds to,0.45454031239735576
this game,0.45401462670806075
seat,0.4536396471924932
charm,0.4528771735649747
surprising,0.4528450657008355
the fight,0.4527049868934643
you should,0.4525515119264278
very interesting,0.4523491388260186
diana,0.4519176071187361
man,0.4518917272319857
spring,0.45184815951295043
sunday,0.4515332320579714
nevertheless,0.45147589198323923
spinal,0.4508578258655585
jean,0.45077470417830634
average,0.4505293299155256
perfect and,0.4502397018155698
mystery,0.4491899475764211
liked the,0.4491811793512428
emotionally,0.4487934844276653
my heart,0.44862137302880406
packed,0.44860777808817087
character and,0.4485399842448472
kung,0.44849129271560684
mine,0.4484230327716228
on vhs,0.44824988024763407
action,0.4480641385029499
is fantastic,0.4479888499112483
hartley,0.44781220401517363
frank,0.4475391974326152
as child,0.44749214607115334
that will,0.4465960194961472
really good,0.44606816937759247
fun movie,0.44597468515968913
be made,0.44555872347107833
also very,0.4455031942899604
natali,0.4449925139358412
killers,0.44488216662543956
brave,0.4445808938833647
fun the,0.4445491032593278
murder,0.4444687186743264
troubled,0.44436502827949625
tales,0.444009800414108
learned,0.44384448460088793
comedies,0.44361879547043537
emotion,0.4435554802614835
present,0.4435193494422221
michael jackson,0.4432384313761887
and of,0.4425908915264422
quite well,0.44197334838686314
to life,0.44156408475615955
